notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
TY837W,Alternativtext,Alternative text,,The alternative text is a description of the image content to make the media file (digital representation) accessible to people who cannot see it.,,DQ0XA6,VFCI6M,Mediendatei [Feldgruppe] (Pflicht),Minimaldatensatzempfehlung,KN2AVX,,,XZYN2X,PI4F4S,ja,nein,,,,,,,,,,
U2H4FS,ID Datensatz,Record ID,,Globally unique identifier for the data record on the object,,DQ0XA6,KX62YX,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,PI4F4S,nein,nein,,,,,,identifier,,,,
PS17P1,Sprache des Datensatzes,Record language,,Indication of the language of the metadata record,,YMGJAG,VFCI6M,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,MF87ON,nein,nein,,,,,,language,,,,
SUC0KE,Datensatzart,Record type,,Type of data record regarding whether it describes a single object or a group of objects,,DQ0XA6,V4JDTK,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,ME5OCY,nein,nein,,,,,,distribution.encodingFormat,,,,
WF8UZW,Verwahrende Einrichtung,Repository of object,,Name of the institution holding the cultural heritage object,,YMGJAG,VFCI6M,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,ME5OCY,ja,nein,,,,,,contributor,,,,
NFD0OM,Datensatzerstellende Einrichtung,Institution providing record,,Name of the institution that created the record,,DQ0XA6,FEO71C,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,ME5OCY,ja,nein,,,,,,"publisher, producer",,,,
MYRFBI,Mediendatei: Medientyp,Media file: type of media file,,Type of media file,,YMGJAG,VFCI6M,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,ME5OCY,nein,nein,,,,,,fileFormat,,,,
SL5IM1,Nutzungsrechte Metadaten,Usage rights of metadata record,,Indication of copyright status and usage rights of the metadata record,,DQ0XA6,F1CNR9,,Minimaldatensatzempfehlung,KN2AVX,,,G338GB,ME5OCY,nein,nein,,,,,,license,,,,
HXKTF8,Link zum veröffentlichten Metadatensatz,Link to published metadata record,,Persistent link to a presentation of the object which is publicly available on the web,,DQ0XA6,V8HDG6,,Minimaldatensatzempfehlung,KN2AVX,,,XZYN2X,XE70Z8,ja,nein,,,,,,contentURL,,,,
QH2X8P,Datierung des Datensatzes,Record date,,Export date of the record,,DQ0XA6,B49OER,,Minimaldatensatzempfehlung,KN2AVX,,,XZYN2X,BGVR25,nein,nein,,,,,,copyrightYear,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
QZ9IVE,Quelle,Source,,"Source where the information of the object is stated (text, URI)",,DQ0XA6,GGG4XU,,Objektbiografie,W5Z3U7,,,CVF5M9,PI4F4S,ja,nein,,,,,,,,,,
D6JGWE,Version,Version,,Version of the data set,,DQ0XA6,OO56ML,,Objektbiografie,W5Z3U7,,,XZYN2X,PI4F4S,nein,nein,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IFA13Q,codeRepository,,,"Link to the repository where the un-compiled, human readable code and related code is located (SVN, GitHub, CodePlex, institutional GitLab instance, etc.).",,DQ0XA6,DMNAV5,In Codemeta also used for SoftwareApplication(?),Schema.org SoftwareSourceCode,VPR62B,,,,,,,,,,,,,,,,
PDD6K5,codeSampleType,,,"What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template. Supersedes sampleType.",,HNHAYW,VDCYC4,Not in CodeMeta,Schema.org SoftwareSourceCode,VPR62B,,,,,,,,,,,,,,,,
SQ1RGW,programmingLanguage,,,The computer programming language.,,HNHAYW,VDCYC4,In Codemeta also used for SoftwareApplication(?),Schema.org SoftwareSourceCode,VPR62B,,,,,,,,,,,,,,,,
PBSVM0,runtimePlatform,,,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0). Supersedes runtime.",,HNHAYW,VDCYC4,In Codemeta also used for SoftwareApplication(?),Schema.org SoftwareSourceCode,VPR62B,,,,,,,,,,,,,,,,
QRB8EU,targetProduct,,,"Target Operating System / Product to which the code applies. If applies to several versions, just the product name can be used.",,HNHAYW,VDCYC4,In Codemeta also used for SoftwareApplication(?),Schema.org SoftwareSourceCode,VPR62B,,,,,,,,,,,,,,,,
AG1JPV,author,,,,,DQ0XA6,FEO71C,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
Z8K26T,citation,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
LDPVTQ,contributor,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
BZQ5JS,copyrightHolder,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
BCNZPJ,copyrightYear,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
PVOL9A,dateCreated,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
HRHZAS,dateModified,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
O9IGKD,datePublished,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
HVZQP1,editor,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
ROSKM3,encoding,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
QB9H8J,encodingFormat,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
TK5J3P,funder,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
X236V6,hasPart,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
IR66G7,isAccessibleForFree,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
SA5KLR,isPartOf,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
BS6V8S,keywords,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
D3O2FU,license,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
QOW23Q,position,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
QCJNY5,producer,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
W69QDL,provider,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
CM9D9L,publisher,,,,,YMGJAG,VFCI6M,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
QPLAO4,review,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
LO9FPO,sponsor,,,,,HNHAYW,N8V5BR,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
JN0AVF,version,,,,,DQ0XA6,OO56ML,,Schema.org CreativeWork,VPR62B,,,,,,,,,,,,,,,,
AS5DQW,description,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
S6TJ2R,identifier,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
YA55EF,name,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
LL8UQR,sameAs,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
UVTP4Y,url,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
DCEIIW,relatedLink,,,,,YMGJAG,VFCI6M,,Schema.org Thing,VPR62B,,,,,,,,,,,,,,,,
JEL8PZ,buildInstructions,,,link to installation instructions/documentation,,HNHAYW,BHPPV6,,"CodeMeta v2, v3",VPR62B,,,,,,,,,,,,,,,,
J2DP4R,contIntegration,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
MTN1SS,continuousIntegration,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
Y3A6MD,developmentStatus,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
RG80F0,embargoDate,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
KL296S,embargoEndDate,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
QGPHL2,funding,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
UMPOVP,hasSourceCode,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
LO1IS6,isSourceCodeOf,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
K6A301,issueTracker,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
MW60OJ,maintainer,,,,,DQ0XA6,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
N61VT4,readme,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
H77BZO,referencePublication,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
B12XM0,softwareSuggestions,,,,,HNHAYW,BHPPV6,,CodeMeta,VPR62B,,,,,,,,,,,,,,,,
YSROT5,applicationCategory,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
UJSJTH,applicationSubCategory,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
T3XC6A,applicationSuite,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
YN1W46,availableOnDevice,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
SD79IS,countriesNotSupported,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
ZG9VGW,countriesSupported,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
O7NKXU,downloadUrl,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
AIBNC2,featureList,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
A9JJMT,fileSize,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
Z7PHVJ,installUrl,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
BL1UIC,memoryRequirements,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
MTMWLI,operatingSystem,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
KADWK6,permissions,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
Q7754D,processorRequirements,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
SG92VR,releaseNotes,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
V52BBX,screenshot,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
UTW9Z2,softwareAddOn,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
YMMRQD,softwareHelp,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
ZMSK7K,softwareRequirements,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
B3RDPU,softwareVersion,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
KYG663,storageRequirements,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
TW87KE,supportingData,,,,,HNHAYW,RAE30P,,Schema.org SoftwareApplication,HUHY5R,,,,,,,,,,,,,,,,
XDXG5Y,family name,,,family name (P734): part of full name of person,,DQ0XA6,B6LS0S,,Wikidata,J5LOVZ,,,,,,,,,,,,,,,,
UBS5OT,given name,,,given name (P735): first name or another given name of this person,,DQ0XA6,B6LS0S,,Wikidata,J5LOVZ,,,,,,,,,,,,,,,,
IFAI1Y,email address,,,"email address (P968): email address, prefixed with mailto:",,DQ0XA6,B6LS0S,,Wikidata,J5LOVZ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
KV87R9,ID,,,6-stellige Hexadezimalzahl zur eindeutigen Identifikation der Ressource,,DQ0XA6,KX62YX,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
M4DGZ1,Bezeichnung,,,Bezeichnung bzw. Name für die Ressource,,DQ0XA6,W0PDK4,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
SSBY7V,Beschreibung,,,Kurze Beschreibung der Ressource: Was findet man dort thematisch und technisch?,,DQ0XA6,KP15EJ,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
ZWKY4L,URL,,,Link zur Ressource,,DQ0XA6,V8HDG6,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
NDZGRF,type,,,Technischer Typ,,DQ0XA6,V4JDTK,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
BLAB0L,category,,,Kontext,,DQ0XA6,H0IEJF,,PROV Services and Tools v1.0,KLJQRH,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RHVWDD,Identifier,Identifier,,eindeutige Vorgangs-/Maßnahmennummer,,DQ0XA6,KX62YX,,ARA,KYF46O,,,,,,,,,,,,,,,,
N4MAYU,Name,Name,,Fundstellen- oder Vorgangsbenennung,,DQ0XA6,W0PDK4,,ARA,KYF46O,,,,,,,,,,,,,,,,
WRCO3I,Kurzansprache,Feature,,Typ d. Fundstelle z. B. Befestigung,,DQ0XA6,H0IEJF,,ARA,KYF46O,,,,,,,,,,,,,,,,
E3RPL9,Ansprache erweitert,Broader Feature,,Liste aller zugelieferten Fundstellentypen,,DQ0XA6,H0IEJF,,ARA,KYF46O,,,,,,,,,,,,,,,,
IQC8E5,Datierung,Dating,,VLA Zeitstrahl / Chronontology,,DQ0XA6,B49OER,,ARA,KYF46O,,,,,,,,,,,,,,,,
V4IGLD,Ort,Location,,Geonames/Gazeteer,,DQ0XA6,EBTWZ2,,ARA,KYF46O,,,,,,,,,,,,,,,,
VJC4UI,Geometrie,Coordinates,,Koordinaten d. Aktivität (Punkt/Polygon) WKT,,DQ0XA6,QAAJ5W,,ARA,KYF46O,,,,,,,,,,,,,,,,
TMNTAI,Art,Type of Arch. Activity,,Mehrfachauswahl Art d. Aktivität,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
QGAFVR,vorangegangene/verknüpfte Aktivitäten,Linked Activities,,,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
H6F7S9,Zeitraum/punkt der Aktivität,Date of Activity,,,,DQ0XA6,L6C5YL,,ARA,KYF46O,,,,,,,,,,,,,,,,
ND3DI2,Verantwortliche Person,Responsiblity (Person),,"Grabungsleitung, Referent o. ä.",,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
L2TDHU,Verantwortliche Institution,Responsiblity (Institution),,"Landesamt, Uniarchiv, DAI etc.",,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
EYZU1G,Datenhaltende Stelle,Curator,,verantwortliche Institution,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
KRXM7D,Dokumentation digital/analog,Data Set Type,,,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
WL9GY9,Link zum Datensatz,Link Data Set,,URL,,DQ0XA6,F1CNR9,,ARA,KYF46O,,,,,,,,,,,,,,,,
P8S78M,Lizenz Datensatz,Data Set Licence,,,,DQ0XA6,F1CNR9,,ARA,KYF46O,,,,,,,,,,,,,,,,
MFA5X7,Literatur,Bibliography,,,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
PCEQ25,Funde/Befunde/Proben,Findings/Features/Samples,,Ja/Nein-Auswahl; evtl. Einzelfelder mit Zahlenangabe?,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
TYAIJP,Ausdehnung,Area (m²),,Angabe zur Ausdehung d. untersuchten Fläche qm,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
DP5YPS,Plana/Profile,Number of Plana/Profiles,,Angabe zur Anzahl d. Plana u. Profile,,YMGJAG,VFCI6M,,ARA,KYF46O,,,,,,,,,,,,,,,,
Z9NSY0,Lizenz Metadaten,Licence Metadata,,sollte vom Betreiber des Dienstes festgelegt werden,,DQ0XA6,F1CNR9,,ARA,KYF46O,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GAXDWK,certainty level,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
UPU3X7,certainty description,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
JE2FK2,method used,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
SLA8P9,acting person,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
DS9MXX,method description,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
JJAFY0,source type (detail),,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
SIGY8B,source type (generic),,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
SXI6DM,precision,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
V79CWV,location type,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
QMHHSX,point type,,,,,HNHAYW,RHY8N1,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
VKOHY5,instance of,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
CLWPGY,related to,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
TSYLYN,related to type,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
SXHGM8,has reference,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
W7ATPO,reference URL,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
IZWLDY,part of,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
LWQ5U6,has spatial type,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
RAI09X,has coordinate,,,,,DQ0XA6,QAAJ5W,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
S0MT0K,has spatial category,,,,,YMGJAG,VFCI6M,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
PX14Y6,located in the administrative territorial entity,,,,,DQ0XA6,EBTWZ2,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
QWW166,label,,,,,DQ0XA6,W0PDK4,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
ITBC4E,description,,,,,DQ0XA6,KP15EJ,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
RM9ZW8,alias,,,,,DQ0XA6,W0PDK4,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
MVDWV1,Q-ID,,,,,DQ0XA6,KX62YX,,fuzzy-sl,IN0SPM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAQX5,item_name,,,,,DQ0XA6,W0PDK4,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
Y6HWIT,description,,,,,DQ0XA6,KP15EJ,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
TSCZ5T,github,,,,,DQ0XA6,DMNAV5,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
JVPEHO,gist,,,,,DQ0XA6,DMNAV5,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
O3K506,gitlab,,,,,DQ0XA6,DMNAV5,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
MQ1KT7,bitbucket,,,,,DQ0XA6,DMNAV5,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
B4A319,launchpad,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
GA9NVR,twitter,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
GLAKQJ,youtube,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
R8FKWK,blogpost,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
DW9FKA,cran,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
CPR4IU,pypi,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
H5PAZV,codeberg,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
ZNBTOG,website,,,,,DQ0XA6,V8HDG6,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
XE0BDN,publication,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
CIDBBO,DOI,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
O9CMS7,author_name,,,,,DQ0XA6,FEO71C,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
TCZER8,category,,,,,DQ0XA6,H0IEJF,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
GTTO7K,platform,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
TZ8K93,tag,,,,,DQ0XA6,H0IEJF,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
XT002O,notes,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
SO9EJO,internetarchive,,,,,YMGJAG,VFCI6M,,open-archaeo,HBHNVC,,,,,,,,,,,,,,,,
